20,1,0,0,0,0,   //城番号
5000,800000,1,1,2,12,0,0,0,0,	//幅,	城体力,	生産最低F,生産最高F,	背景種類,	出現最大数,以後未使用
286,5,0,200,300,100,7,9,0,205,	//ID,出現数(0で無制限),初登場F,再登場最低F,再登場最高F,城連動出現％,手前ライン,奥ライン,ボスフラグ,強さ倍率
39,1,150,1,1,100,0,6,0,620,
39,1,300,1,1,100,0,6,0,620,
39,1,750,1,1,100,0,6,0,620,
39,1,850,1,1,100,0,6,0,620,
39,1,900,1,1,100,0,6,0,620,
125,0,0,200,300,99,4,6,0,210,
289,3,0,400,450,99,4,6,0,205,
287,10,0,200,200,99,7,9,0,205,
413,1,0,1,1,99,3,3,1,780,
23,0,13500,13500,13500,100,9,9,0,100,
0,0,0,0,0,0,0,9,0,100,
0,0,0,0,0,0,0,9,0,100,
0,0,0,0,0,0,0,9,0,100,
0,0,0,0,0,0,0,9,0,100,
0,0,0,0,0,0,0,9,0,100,
0,0,0,0,0,0,0,9,0,100,
0,0,0,0,0,0,0,9,0,100,


//敵は１ステージ最大１０種類
