0,0,0,0,0,0,   //城番号
3800,150000,1,1,1,15,0,0,0, //幅,城体力,生産最低F,生産最高F,背景種類,出現最大数,以後未使用
16,0,50,150,200,100,8,9,0,400,
13,1,150,500,500,100,4,4,0,400,
19,1,50,200,250,99,0,0,0,300,
16,1,50,50,150,99,8,9,1,10,
6,3,50,200,250,99,5,6,0,400,
10,3,50,200,250,99,6,7,0,400,
13,1,150,500,500,99,4,4,0,400,
19,4,50,200,250,99,1,3,0,300,
23,0,13500,13500,13500,100,9,9,0,100,
0,0,0,0,0,0,0,9,0,0,
0,0,0,0,0,0,0,9,0,0,
0,0,0,0,0,0,0,9,0,0,
0,0,0,0,0,0,0,9,0,0,
0,0,0,0,0,0,0,9,0,0,
0,0,0,0,0,0,0,9,0,0,
0,0,0,0,0,0,0,9,0,0,
0,0,0,0,0,0,0,9,0,0,
0,0,0,0,0,0,0,9,0,0,
