0,0,0,0,0,0,			//城番号
4200,9999999,1,1,43,20,285,3,0,0,	//幅,	城体力,	生産最低F,生産最高F,	背景種類,	出現最大数,以後未使用
285,1,0,1,1,0,0,0,1,100,	//出現数(0で無制限),初登場F,再登場最低F,再登場最高F,城連動出現％,手前ライン,奥ライン,ボスフラグ,強さ倍率,スコア値
293,2,1,60,150,730000,7,7,0,300,16000,
289,2,1,60,150,730000,6,6,0,300,8000,
286,2,1,60,150,730000,7,9,0,300,4000,
294,1,1,60,150,730000,7,9,1,300,4000,
39,3,1,200,200,680000,7,7,0,1100,2000,
20,1,1,1,1,680000,0,0,1,700,21000,
274,5,1,30,90,630000,0,0,0,200,3000,
274,1,1,1,1,630000,0,0,1,200,3000,
125,10,1,30,60,630000,9,9,0,200,2500,
293,1,1,100,100,580000,7,7,1,200,16000,
36,1,1,1,1,530000,8,8,1,300,11000,
293,2,1,60,150,480000,7,7,0,300,15500,
289,2,1,60,150,480000,6,6,0,300,7500,
286,2,1,60,150,480000,7,9,0,300,3500,
294,1,1,60,150,480000,7,9,1,300,3500,
39,3,1,200,200,430000,7,7,0,1100,1500,
20,1,1,1,1,430000,0,0,1,700,20500,
274,5,1,30,90,380000,0,0,0,200,2500,
274,1,1,1,1,380000,0,0,1,200,2500,
125,10,1,30,60,380000,9,9,0,200,2000,
293,1,1,100,100,330000,7,7,1,200,15500,
36,1,1,1,1,280000,8,8,1,300,10500,
293,2,1,60,150,230000,7,7,0,200,15000,
289,2,1,60,150,230000,6,6,0,200,7000,
286,2,1,60,150,230000,7,9,0,200,3000,
294,1,1,60,150,230000,7,9,1,200,3000,
39,3,1,200,200,180000,7,7,0,1000,1000,
20,1,1,1,1,180000,0,0,1,600,20000,
274,5,1,30,90,120000,0,0,0,100,2000,
274,1,1,1,1,120000,0,0,1,100,2000,
125,10,1,30,60,120000,9,9,0,100,1500,
293,1,1,100,100,50000,7,7,1,100,15000,
36,1,1,1,1,35000,8,8,1,200,10000,
39,1,1,1,1,23000,7,7,1,100,500,
286,3,1,100,200,23000,7,9,0,100,200,
294,6,1,30,50,16000,7,9,0,50,500,
294,1,1,60,60,16000,7,9,1,50,500,
20,1,1,1,1,5000,0,0,1,100,3000,
289,1,1,50,50,500,6,6,1,20,700,
286,2,150,200,200,0,7,9,0,20,500,


//敵は１ステージ最大１０種類
//にゃんこ道場ランキング
