0,0,0,0,0,0,			//城番号
4200,9999999,1,1,43,12,285,3,0,0,	//幅,	城体力,	生産最低F,生産最高F,	背景種類,	出現最大数,以後未使用
285,1,0,1,1,0,0,0,1,100,	//出現数(0で無制限),初登場F,再登場最低F,再登場最高F,城連動出現％,手前ライン,奥ライン,ボスフラグ,強さ倍率,スコア値
258,1,1,1,1,620000,6,6,1,300,11000,
184,3,1,200,200,620000,5,5,0,300,4000,
210,1,1,50,75,576000,7,9,1,300,9000,
126,2,1,200,250,576000,7,9,0,300,4000,
184,3,1,200,200,520000,5,5,0,200,3500,
151,1,1,1,1,520000,0,0,1,200,7000,
126,1,1,1,1,470000,6,6,1,200,6000,
173,1,1,50,50,470000,7,9,0,200,2000,
48,4,1,150,150,470000,7,9,0,250,
180,1,1,150,150,420000,4,4,1,200,5000,
258,1,1,1,1,370000,6,6,1,300,10500,
184,3,1,200,200,370000,5,5,0,300,3500,
210,1,1,50,75,326000,7,9,1,300,8500,
126,2,1,200,250,326000,7,9,0,300,3500,
184,3,1,200,200,270000,5,5,0,200,3000,
151,1,1,1,1,270000,0,0,1,200,6500,
126,1,1,1,1,220000,6,6,1,200,5500,
173,1,1,50,50,220000,7,9,0,200,1500,
48,4,1,150,150,220000,7,9,0,250,
180,1,1,150,150,170000,4,4,1,200,4500,
258,1,1,1,1,120000,6,6,1,200,10000,
184,3,1,200,200,120000,5,5,0,200,3000,
210,1,1,50,75,86000,7,9,1,200,8000,
126,2,1,200,250,86000,7,9,0,200,3000,
184,3,1,200,200,50000,5,5,0,100,2500,
151,1,1,1,1,50000,0,0,1,100,6000,
126,1,1,1,1,30000,6,6,1,100,5000,
173,1,1,50,50,30000,7,9,0,100,1000,
48,4,1,150,150,30000,7,9,0,150,
180,1,1,150,150,10000,4,4,1,100,4000,
37,1,1,50,75,5000,0,0,1,50,3000,
48,3,1,150,150,5000,7,9,0,100,
173,1,1,50,50,1000,7,9,1,50,2500,
48,1,1,1,1,500,7,9,1,40,400,
48,3,1,60,90,500,7,9,0,40,600,
48,3,200,800,800,0,7,9,0,40,300,


//敵は１ステージ最大１０種類
//にゃんこ道場ランキング
