15,100,-1,1,3,    //マップ番号 0～16,　アイテム報酬型ステージ設定(-1:OFF),　スコア報酬型ステージ設定(-1:OFF)
4,					//マップパターン 0～
150,2850,3,100,3,100,95,1,1,30,95,1,-1,	//1ステージ
180,3420,31,100,31,100,95,1,1,45,95,1,-1, //2ステージ
210,3990,32,99,33,100,95,2,1,5,95,2,60,95,1,-1, //3ステージ
250,4750,30,100,30,100,95,2,1,10,95,2,75,95,1,-1, //4ステージ
300,5700,3,99,33,100,95,3,1,30,95,2,100,95,1,-1, //5ステージ


//続・8月イベント
//消費統率力			0
//クリア時の獲得XP		1
//サウンド（スタート時）	2
//サウンド ボス出現時の城体力％	3
//サウンド（ボス）		4
//アイテム入手確率		0～100%
//アイテム番号	0:スピードアップ	1:トレジャーレーダー	2:ネコボン	3:ニャンピュータ	4：おかめはちもく	5:スニャイパー	6:XP	11:にゃんこチケット	12：レアチケット
//貰える数		0
