14,107,-1,-1,-1,    //マップ番号 0～16,　アイテム報酬型ステージ設定(-1:OFF),　スコア報酬型ステージ設定(-1:OFF)
4,					//マップパターン 0～
100,1900,3,99,33,1,1028,1,1,30,101,1,-1,	//1ステージ
100,1900,3,90,31,2,1028,1,1,45,101,1,-1, //2ステージ
100,1900,31,99,33,3,1028,1,1,5,101,2,45,101,1,-1, //3ステージ
100,1900,30,99,31,4,1028,1,1,5,101,2,60,101,1,-1, //4ステージ
100,1900,3,99,30,5,1028,1,1,10,101,2,75,101,1,-1, //5ステージ
100,1900,31,99,33,10,1028,1,1,10,101,3,100,101,1,-1, //6ステージ


//文化祭グルメ戦争(福引チケット追加版)
//消費統率力			0
//クリア時の獲得XP		1
//サウンド（スタート時）	2
//サウンド ボス出現時の城体力％	3
//サウンド（ボス）		4
//アイテム入手確率		0～100%
//アイテム番号	0:スピードアップ	1:トレジャーレーダー	2:ネコボン	3:ニャンピュータ	4：おかめはちもく	5:スニャイパー	6:XP	11:にゃんこチケット	12：レアチケット
//貰える数		0
